город;	школа;
 Чебоксары;	гимназия 1;
	
Москва;	1543;гимназия 1543;
	
	
	
	
	
	
 Ступино;	лицей 1;
	
	
 Москва;	гимназия 1536;
	2;
 Санкт-Петербург;	школа 491;
 Москва;	1189;
	СУНЦ МГУ им. М.В. Ломоносова;
 Гатчина;	лицей 3;
	
 Якутск;	
 Москва;Москва ;	1511;
	
	СУНЦ МГУ;
	
 Москва;	57;ЦО Пятьдесят седьмая школа;ЦО "Пятьдесят седьмая школа";
	
 Медведево ;	3;
 Челябинск;	лицей 31;
 Санкт-Петербург;	30;
	
	
	школа 1;
 Пермь;	146;
	
 Москва;	766;
	
 Чебоксары;	лицей 3;
 Поставы;	Поставская гимназия;
	
 Брянск;	1;
	57;
 Волгоград;	
	гимназия 1534;
 София;	
	
 СУНЦ МГУ;Москва;	Вторая школа;СУНЦ МГУ;
	
Санкт-Петербург ;	лицей 384;
	179;
	
 г. Москва;	лицей 1581;
Москва;	СУНЦ МГУ;
 Черноголовка;  ;	82;
 г. Березники;	школа 3;
	
 Саранск;	РМ «Республиканский лицей для одарённых детей»;РМ «Республиканский лицей»;
	
	
  Москва;	лицей 1303;
 Люберцы;	"Школа радости";
	
	
	
	
 Москва;	лицей 1575;
 Интеллектуал; Москва;	Школа "Интеллектуал", Москва;
 Бийск;	КГБОШИ "Бийский лицей-интернат Алтайского края";
 Москва;	2007;
 Москва;	лицей 1533;
	
	
 Тосно; Тосно с углубленным изучением отдельных предметов;	школа 1;
	
	
 Уфа;	лицей 60;
	
	
	
	
	
 Актобе;	
	
 Москва;	школа 179;
 Москва;	1189;
	
	
 Московская область;ская СОШ;	Лесногородская СОШ;
	54;
	
 Павлодар;	школа лицей 8;
	
	
	
	
 СПб;	30;
 Брянск;	1;
 Долгопрудный;	АНО СОШ Содружество;
	лицей 1533;
	
 Старый Оскол;	школа 24;
	
	
	
	
 Санкт-Петербург;	лицей 533;
 Салават;	школа 21;
 Санкт-Петербург;	лицей 533;
 Павлодар;	школа лицей 8;
	
 Дзержинск;	гимназия 38;
	
	
 Санкт-Петербург;	лицей 239;
 Уфа;	
	
	
	
	
 Москва;	СУНЦ МГУ;школа 179;
	
 Москва;Москва ;	1543;
	
	
	
	
 Челябинск;	11;
 Харьков;	гимназия 47;
	
 Интеллектуал;	
	
Санкт-Петербург ;	лицей 239;
	
	1567;гимназия 1567;
 Чистополь;	
	
 Санкт-Петербург;	239;
 Железногорск (Красноярский край);	лицей 102;
	1568;гимназия 1558;
	
 Москва ;	СУНЦ;СУНЦ МГУ им. М.В. Ломоносова;СУНЦ МГУ;
	лицей 1568;
Москва;	179;
 Санкт-Петербург;	ЕНЛ СПБПУ;
	1101;
	
 Королёв ;	ЛНИП;
 Балашиха;	лицей;
 Набережные Челны;	гимназия 26;
	2007;
 1534;	
 Санкт-Петербург;	школа 639;
 2;	
	
	
 Якутск;	2;
  Пинск;	
	
 Сыктывкар ;	КРФМЛИ;
	
	
	
 Долгопрудный;лицей;	5;Долгопрудный;
	2;
	
	
	
	
 Санкт-Петербург;	лицей 393;
Санкт-Петербург ;	лицей 239;
	
 Раменское;	школа 21;
	
	
	
	
	
	
 Санкт-Петербург;	Лицей «Физико-техническая школа»;Лицей "Физико-техническая школа";
	
	
 г. Ангарск;	лицей 2;
 Санкт-Петербург;	
	
 Долгопрудный;лицей ;	лицей 5;
	школа 179;
	
 Москва;	школа 806;
	
	
 Санкт-Петербург;	
 Северодвинск;Северодвинск ;	лицей 17;
	
	
	
	
 г. Санкт-Петербург;	Лицей "Физико-техническая школа";
 Омск;Санкт-Петербург;Рязань;Москва;г. Санкт-Петербург;	школа 113;лицей 366;гимназия 2;Лицей «Физико-техническая школа»;ЦО 1296;Лицей "Физико-техническая школа" Академического университета;
 Москва ;	лицей 1523;
	
	
  Омск;	
	
Санкт-Петербург ;	Лицей "Физико-техническая школа";
 Иркутск ;	36;
 Витебск;	гимназия 8;
	
	
 г. Москва;	школа 152;
	школа 648;
	гимназия 1554;
	
 Москва;	лицей 1580;
 Санкт-Петербург;	лицей 533;
 Омск;	лицей 92;
 Москва ;	школа 853;
 Санкт-Петербург;	АГ СПбГУ;
	
 Волжский ;	30;
	
 Новосибирск;	гимназия 6;
	
	
	
 Белгород;	
	
	
	1518;
 Москва;Москва ;	СУНЦ МГУ;СУНЦ МГУ им. М.В. Ломоносова;
	
	
	
	
 Москва;	СОШ «Светлые Горы»;
 Москва;Москва ;	СУНЦ;СУНЦ МГУ;Специализированный учебно-научный центр (факультет) — школа-интернат имени А.Н.Колмогорова Московского государственного университета имени М.В.Ломоносова;
	2007;
	
	
	
 Екатеринбург;	СУНЦ УрФУ;
	
	
 Дубна;	лицей 6;
	
	гимназия 1543;
	
	
	
	
	
	
	179;
	
	
	
	гимназия 1517;
	Православная Свято-Петровская школа;
	
