город	школа
 	 
 	 
 	 
 Санкт-Петербург;	 Лицей №393;
 Москва;	 ГБОУ Лицей 1523;
 п. Парголово;	 Академическая гимназия им. Д.К. Фаддеева СПбГУ;
 	 
 Якутск;	 
 	 
 1514;	 
 г.о. город Якутск;	 ГБНОУ Республиканский лицей;
 	 
 Гатчина;	 3;
 	 
 Санкт-Петербург;	 ГБОУ СОШ № 242;
 	 
Щелково	ГОУ Средняя школа-интернат МИД РФ
 Гатчина;	 3;
 Екатеринбург;	 СУНЦ УрФУ;
 Москва ;	 1329;
 Москва;	 гимназия 1543;
 	 СУНЦ МГУ;
 	 
 	 57;ГБОУ ЦО № 57;
 	 
 	 
Уфа	МБОУ Лицей №153
 	 
 	 2007;
 1543;Москва;	 ГБОУ Гимназия № 1543;
 п. Металлострой;	 лицей №273 им. Л. Ю. Гладышевой;
 Санкт-Петербург;	 лицей 366;
 Москва;	 1514;ГБОУ гимназия № 1514;
 	 1568;
 	 
 	 
 	 
 Смоленск ;	    школа имени Кирилла и Мефодия;СОГБОУ "Школа-интернат с углубленным изучением отдельных предметов имени Кирилла и Мефодия";
 	 
 Саратов;	 лицей прикладных наук;Лицей прикладных наук;
 	 ГБОУ ЦО № 2006;
 	 
 г. Москва;	 СУНЦ;СУНЦ МГУ;
 57;	 
 	 ГБОУ лицей № 1501;
 	 
 Прохладный;	 
 Прохладный;	 
 	 
 	 
 	 
 Калининград;	 лицей;
 	 
 	 
 	 
 	 179;
 	 1580;
 Санкт-Петербург;	 566;
 	 
 	 
 Москва;	 1747;
 	 
 	 
 	 
 	 
 	 
 	 
 	 
 	 
 Москва;	 СУНЦ;СУНЦ МГУ;
 Салават;	 МБОУ Лицей №1;
 Москва;	 1580;ГБОУ Лицей №1580 при МГТУ им. Н.Э. Баумана;
 	 
 	 
 	 
 Рязань;	 МБОУ ордена «Знак Почета» гимназия № 2 им. И.П. Павлова;
 Магнитогорск;	 МАОУ Многопрофильный Лицей №1;
 	 
 Санкт-Петербург;	 Гимназия №295;
 1543;Москва;	 1543;
 	 
 	 
 	 
 	 
 Санкт-Петербург;	 Академическая гимназия СПбГУ;
 Москва;	 
 	 
 Уфа;	 93;
 	 
 Владикавказ;	 ГБОШИ РФМЛИ;Республиканский физико-математический лицей-интернат;
 	 СОШ № 179 МИОО;
 Москва;	 1543;
 	 
 	 
 	 
 Саранск;	 
 	 
 Санкт-Петербург;	 ФМЛ №239;ГБОУ ФМЛ No239;
 1514;	 1514;гимназия 1514;
 	 12;
 Москва;	 2;л2ш;
 	 
 Воронеж ;	    гим. Басова;
 	 
 	 2;
 	 
 	 
 179;	 
 Зеленоград;	 ГБОУ Лицей №1557;
 	 
 Королёв;	 Лицей№ 4;
 	 
 	 
 Смоленск;	 НОУ ФМЛ при МИФИ;
 	 
 Омск;	 МОУ Гимназия №19;
 	 
 	 1567;
Омск	МОУ Гимназия №19
 Москва;	 СУНЦ МГУ;
 	 57;
 2007;	 
 	 
 	 
 	 
 Воткинск;	 МБОУ Воткинский лицей;
 Белгород;	 9;
 	 
 	 
 Волжский;	 30;
 	 
 	 
 	 
 Железногорск (Красноярский край);	 МАОУ "Лицей №102";
 	 
 1588;Москва;	 ГБОУ гимназия №1588;
 Москва;г. Москва;	 ГБОУ ФМШ №2007;ГБОУ Физматшкола 2007;
 	 Школа 2086, Москва;179;
 179;	 2007;
 	 
 Санкт-Петербург;	 гбоу фмл 366;
 	 ГБОУ гимназия № 1518;
 Москва;	 л2ш;Вторая школа;
 	 
 	 
 	 
 	 
 	 
 	 
 	 
 	 
 Снежинск;	 МБОУ Гимназия №127;
 Москва;	 
 	 ФГБОУ СОШ №91 РАО;
 	 гимназия 1514;
 Мурманск;	 МБОУ Мурманский политехнический лицей;
 	 
 	 
 	 ГБОУ гимназия № 1538;
 	 
 СУНЦ МГУ;Москва;	 1018;Специализированный учебно-научный центр (факультет) - школа-интернат имени А.Н.Колмогорова Московского государственного университета имени М.В.Ломоносова;
 Чебоксары;	 МАОУ Лицей №3;
 Волгоград;	 3;
 Элиста;	 МБОУ "Элистинский лицей";
 	 
 	 
 	 лицей 33 г. Иваново;
 Актобе;	 школа-лицей 20;
 	 
 Павлодар;	 ГУ Школа-лицей №8 для одарённых детей;
 Павлодар;	 ГУ Школа-лицей №8 для одарённых детей;
 Москва;Москва ;	 Школа №179 МИОО;
 	 
 Озерск;	 
 Элиста;	 МБОУ "Элистинский лицей";
 	 ГБОУ лицей № 1568;
 	 
 	 
 	 
 Москва;	 1359;
 	 
 	 
 	 
 Москва;	 
 	 
 Удачный;	 МКОУ СОШ №24;
 	 
Гатчина  	МОУ Гатчинский Лицей №3
 г. Переславль-Залесский;	гимназия г. Переславль-Залесский;
 Переславль-Залесский;гимназия;	гимназия г. Переславль-Залесский;
 Переславль-Залесский;	гимназия г. Переславль-Залесский;
 Переславль-Залесский;гимназия;	гимназия г. Переславль-Залесский;
 	 
 	 
 	 
 Тула;	 58;
 	 лицей 1502;
 Москва;	 1514;
 Санкт-Петербург;	 ГБОУ «Президентский ФМЛ №239»;
 София;	 
 	 
 	 
 	 
 Нижнекамск;	 24;
 г. Москва;	 ГБОУ гимназия № 1530 "Школа Ломоносова";
 	 
 Ленинск-Кузнецкий;	 1;
 Липецк;	 МБОУ гимназия № 12;
Санкт-Петербург 	ГБОУ «Президентский ФМЛ №239»
 СПб;Санкт-Петербург;	 
 Москва;Москва ;	 Гимназия №1543;
 	 1543;ГБОУ Московская гимназия на Юго-Западе № 1543;
 	 
 СПб;	 
 Королёв;Королев;Фрязино ;	 19;АОУ лицей №19;  ;
 	 
 	 2;
 Москва;	 ГАОУ СОШ №179 МИОО;
 	 
 	 
 Чебоксары;	 
 	 
 	 
 	 
 57;Москва;	 57;ГБОУ ЦО №57;
 Москва;	 1543;
 2;	 2;
 Иркутск ;	 36;
 1514;	 гимназия 1514;
 Старый Оскол;	 МАОУ СОШ №24;
 	 
 Нефтекамск;	 МОАУ Лицей №1;
 	 
 Москва;	 54;
 	 
 1568;	 
 2086;	 
 	 
 	 
 г. Москва;	 1547;ГБОУ лицей № 1547;
 	 
 СПб;	 239;
 Саранск ;	    РЛЦОД;
 Санкт-Петербург;	 Гимназия №61;
 	 ГУО "Гимназия 8 г.Витебска";
 Харьков;	 гимназия №47 ;
 Челябинск;	 МБОУ ФМЛ №31 г.Челябинска;
 	 
 	 
 	 
 	 
 	 
 Москва;	 лицей 1568;
 	 1543;ГБОУ Московская гимназия на Юго-Западе № 1543;
 	 
 	 
 	 ГБОУ Физматшкола 2007;
 Москва;г. Москва;	 ГБОУ СОШ №54;
 г. Рыбинск;Санкт-Петербург;	 2;
 Нижний Новгород;	 МБОУ гимназия № 13;
 Москва;	 ГБОУ лицей №1547;
 Жуковский;	 1;
 	 
 	 
 Москва;	 ГБОУ гимназия № 1534;
 	 
 	 
 	 
 	 
 	 
 	 
Санкт-Петербург	ГОУ СОШ №307
 Санкт-Петербург;	 ФМЛ №366;ГБОУ ФМЛ № 366;
 	 
 	 ГБОУ лицей № 1533;
 	 
 Снежинск;	 МБОУ Гимназия №127;
 Лепель;	 гимназия им. И. М. Ерашова;
 Долгопрудный;	 АОУ школа №10;
 	 лицей 33 г. Иваново;
 Якутск;	 Республиканский лицей;
 57;	 57;
 Якутск;г.о. город Якутск;	 ГБНОУ РСЯ ЛИ Республиканский лицей;ГБНОУ Республиканский лицей;
 	 
 Кюстендил;	 
 	 
 Тамбов;	 14;
 	 
 	 
 	 
 Санкт-Петербург;	 ГБОУ ФМЛ №239;
 	 ГБОУ СОШ №1246;
 	 
 Элиста;	 
 Элиста;Элиста ;	 Элистинский лицей РК;   лицей;МБОУ "Элистинский лицей";
 	 
 Озерск ;	 39;
 	 
 Бийск;	 КГБОШИ "Бийский лицей-интернат Алтайского края";
 	 
 Витебск ;	 7;
 Саранск ;	    РЛЦОД;
 Москва;	 ГБОУ Лицей №1580 при МГТУ им. Н.Э.Баумана;
 	 
 	 
 	 
 	 
 Барнаул;	 МБОУ "Гимназия №42";
 	 
 Дмитров;	 гимназия "Дмитров";
 	 ГБОУ СОШ № 705;
 	 
 	 
 	 
 Могилев;	 УО «Могилевский государственный областной лицей № 3»;
 	 
 	 
 	 
 г.о. город Уфа;	 МБОУ лицей № 153;
 	 
 	 
 Мозырь;	 
 	 
 Гомель;	 гимназия 51;
 Актобе;	 
 	 
 	 
 Москва ;	 СОШ № 179 МИОО;
 	 
 Санкт-Петербург;	 Лицей "Физико-техническая школа";
 	 
 	 
 	 ГБОУ лицей № 1581;
 	 
 Самара;	 
 Озерск ;	 39;
 	 
 	 
 	 МБОУ Лицей ?41, г. Ижевск;
 Ефремов;	 МБОУ Ефремовский физико-математический лицей;
 	 
 Воронеж;	 
 	 
 Сочи;	 МОБУ гимназия №1;
 	 
 	 
 Санкт-Петербург;	 533;
 	 
 	 гимназия 1514;
 Хабаровск;	 МБОУ  «Математический лицей»;
 	 
 	 
 	 
 Нижний Новгород;	 
 57;	 1514;
 Самара;	 124;
 Санкт-Петербург;	 150;
 Санкт-Петербург;	 ГБОУ ФМЛ №239;
 218;Москва ;	 218;
 	 ГБОУ гимназия № 1567;
 	 
 г. Саров;	 МБОУ "Лицей № 3";
 	 
 	 СОШ № 179 МИОО;
 	 
 г. Волгоград;Москва;	 МОУ СШ № 78;СУНЦ МГУ;
 	 
 	 Интеллектуал;
 Москва;	 СУНЦ МГУ;
 	 
Долгопрудный; Москва;	 лицей 5;ГБОУ ЦО №1487;
 Санкт-Петербург;Санкт-Петербург ;	 ГБОУ СОШ № 242;
 Старый Оскол;	 МБОУ СОШ №27;
 	 
 Павлодар;	 ГУ Школа-лицей №8 для одарённых детей;
 	 
 Санкт-Петербург;	 ГБОУ школа №471;
 Москва;	 ГБОУ лицей 1581 при МГТУ им.Баумана;
 	 
 Москва;	 1513;
 Новополоцк;	 Гимназия 1;
 Гомель;	 гимназия 51;
 Саратов;	 МАОУ ЛМИ;
 	 
 Москва;	 1840;
 	 
 Нижневартовск;	 
 	 
 Санкт-Петербург;	 30;
 	 
 	 
 	 ГОУ ВПО МГУПС - Гимназия МИИТ;
 	 
 	 
 Санкт-Петербург;	 Лицей №393;
 	 
 	 
 	 ГБОУ СОШ № 885;
 Москва;	 ГБОУ Школа № 929;
 Саратов;	 МАОУ Гимназия №87;
 	 
 Москва;Москва ;	 ГБОУ Лицей №1557;
 Ставрополь;	 
 	 гимназия 1534;
 	 
 Санкт-Петербург;	 98;
 СПб;	 239;
 	 
 	 
 Невинномысск;Невинномысск ;	 МБОУ Лицей № 1;
 	 
 	 
 Невинномысск;	 МБОУ Лицей №1;
 	 
 Ижевск;	 МБОУ лицей №41;
 г. Брянск;	 МБОУ Брянский лицей №2 им.Ломоносова;
 Юбилейный;	 гимназия № 5;
 Новосибирск;	 МБОУ Гимназия No1;
 	 
 	 
 	 
 	 
 СПб;	 239;
 	 
 	 
 	 Лицей 6, Тольятти;
 Самара;	 Самарский лицей информационных технологий;
 	 
 Санкт-Петербург;	 239;
 	 
 Кострома;	 МБОУ СОШ №21;
 Челябинск;Челябинск ;	 МБОУ Лицей №31;МБОУ ФМЛ №31 г.Челябинска;
Челябинск	МБОУ Лицей №31
 	 
 Обнинск;	 МБОУ лицей "Физико-Техническая Школа";
 	 СУНЦ;
 Москва;	 СУНЦ МГУ;
 	 ГОУ ВПО МГУПС - Гимназия МИИТ;
 Санкт-Петербург;	 ГБОУ СОШ №292;
 	 
 Усолье-Сибирское;	 1;
 	 
 	 
 Санкт-Петербург;	 ГБОУ ФМЛ №30;
  Жуковский;	МОУ лицей №14;
 Новоуральск;	 МАОУ Гимназия г. Новоуральска;МБОУ Гимназия г. Новоуральска;
 Москва;	 ГБОУ лицей № 1502 при МЭИ;
 	 
 	 
 	 
 Якутск ;	    Республиканский лицей;
 Краснодар;	 НЧОУ «Лицей «ИСТЭК»;
 	 
 	 
 Удачный;	 МКОУ СОШ №24;
 Вологда;	 Вологодский многопрофильный лицей;
 	 
 	 
 	 
 Москва;	 54;
 Москва;	 
 	 
 Орел ;	 1;
 	 
 	 
 Москва;г. Санкт-Петербург;	 ГБОУ ПФМЛ;ГБОУ Президентский ФМЛ № 239;
 Саранск;	 ГБНОУ РМ «Республиканский лицей для одарённых детей»;
 1580;г. Москва;	 ГБОУ Лицей № 1580 при МГТУ имени Н.Э.Баумана;
 2;Москва;	 ГБОУ лицей "Вторая школа";
 	 СУНЦ МГУ им. М.В. Ломоносова;
 	 
 Казань;	 139;
 Екатеринбург;	 СУНЦ УрФУ;
 	 
 	 
 	 
 	 гимназия 1543;
 	 54;
 	 
 	 
 	 
 Москва ;	 7;
 	 
 Москва;	 СУНЦ МГУ;
 	 ГБОУ СОШ № 2028;
 	 
 2;	 2;
 	 
 	 
 2007;	 
 Пенза ;	 53;МБОУ Гимназия №53;
 	 
 	 
 	 179;
 Киров;	 КФМЛ;
 Санкт-Петербург;	 239;
 Санкт-Петербург;	 ГБОУ ФМЛ №239;
 Междуреченск;	 МОУ Лицей №20;
 	 
 Саранск ;	    РЛЦОД;
 	 
 Санкт-Петербург;	 Естественно-научный лицей Санкт-Петербургского политехнического университета;
 СПб;	 
 Балашиха;	 МАОУ "Лицей";
 Горно-Алтайск;Курчатовская школа;Москва;Новочебоксарск;г. Москва;	 МБОУ СОШ 8;СУНЦ МГУ;МБОУ "Лицей №18";ГБОУ СОШ № 1189 имени И.В. Курчатова;
 Ижевск;	 Экономико-математический лицей №29;
 Санкт-Петербург;	 ФТШ;
 	 
 Псков;	 Псковский технический лицей;
 Великий Новгород;	 Гимназия № 4;
 СПб;Санкт-Петербург;	 
 	 
 	 
 	 
 	 
 	 
 	 
 Саратов;	 МАОУ "Физико-технический Лицей №1";
 Урюпинск;	 МБОУ Лицей;
 	 
 	 
 	 
Москва;	 57;
 	 
 	 
 	 
 	 
 	 
 Железногорск (Красноярский край);	 МБОУ Лицей №102;
 Ульяновск;	 МАОУ "Многопрофильный лицей №20";
 	 
 	 
 	 гимназия 1514;
 Санкт-Петербург;	 538;
 Кировск;	 МБОУ Кировская гимназия им. Султана Баймагамбетова;
 	 
 	 
 	 
 	 
 Москва;	 2;
 	 
 	 
 Уфа;	 МБОУ лицей 153;
 	 
 	 
 Санкт-Петербург;	 ГБОУ лицей №30;239;
 	 
 	 
 Павлодар;	 ГУ Школа-лицей №8 для одарённых детей;
 	 
 Саранск ;	    РЛЦОД;Республиканский лицей - Центр для одаренных детей;
 	 
 1534;	 
 Санкт-Петербург;Санкт-Петербург ;	 ФМЛ №366;ГБОУ ФМЛ № 366;
 п. Новый городок;	 МБОУ Новогородковская СОШ;
 	 
 2007;	 
 Химки ;	 11;
 	 
 	 
 Екатеринбург;	 СУНЦ УрФУ;
Санкт-Петербург 	Лицей «Физико-техническая школа» 
 	 
 	 
  Сыктывкар;	 ГАОУОШИ РК КРФМЛИ, Сыктывкар;
 Ленинградская область;	 Киришский лицей;
 	 
 	 
 	 
 Москва;	 230;
 2;	 2;
 	 
 1514;Москва;	 1514;гимназия № 1514;гимназия 1514;
 	 
 Тульская область;	 1534;Ефремовский ФМЛ;
 	 
 Тверь ;	 19;
 Москва ;	 1524;
 	 179;
 	 
 Ижевск;	 41;
 Майкоп;г. Майкоп;	 МБОУ "Гимназия 22";МБОУ "Гимназия № 22";
 Санкт-Петербург;	 ГБОУ Лицей №244;
 	 
Уфа	МБОУ Гимназия №39
 2007;Москва;	 Физматшкола 2007, Москва;
 Саранск;	 ГБНОУ РМ «Республиканский лицей для одарённых детей»;ГБОУ РМ «Республиканский лицей»;
 Москва;	 ГБОУ СОШ №54;
 Москва;	 1828;
 Уфа;	 МБОУ Лицей №83;
 	 
 Воронеж;	 МБОУ Лицей №1;МБОУ Лицей № 1;
 	 
 	 
 Сосновый Бор;	 8;
 	 
 Москва;	 ГБОУ Гимназия № 586 Василеостровского района;
 Санкт-Петербург;	 533;
 	 
 	 
 	 
 	 
 Москва;	 
 Москва;179;	 ГАОУ СОШ №179 МИОО;СОШ 179 МИОО;Структурное подразделение ГАОУВПО МИОО СОШ № 179;
 Таганрог ;	 4;
  Кременчуг;	 
 	 
 	 
 	 
 	 
 Нижний Новгород;	 ГБОУ лицей-интернат "Центр одаренных детей";
 	 
Нижний Новгород	ГБОУ лицей-интернат "Центр одаренных детей"
 	 
 	 
 	 
 	 
 	 ГБОУ гимназия № 1554;
 	 33 г. Ярославль;
 Москва;	 1568;
 	 
 	 
 	 
 Санкт-Петербург;	 ГБОУ ФМЛ №30;
 	 
 Мурманск;	 МПЛ;
 	 
 Челябинск;	 МАОУ Лицей №97;
 	 
 Москва;	 
 	 444;ГБОУ СОШ № 444;
 Павлодар;	 ГУ Школа-лицей №8 для одарённых детей;
 Екатеринбург;	 СУНЦ УрФУ;
 Саратов;	 Физико-технический Лицей №1;ФТЛ №1;
 	 
 	 
 Ставрополь;	 МБОУ СОШ №29;Центра одаренных детей «Поиск»;
 Железногорск (Красноярский край);	 МБОУ Лицей №102;
 843;	 
 	 
 Москва;	 СУНЦ МГУ;
 Новосибирск;	 Православная гимназия во имя Преподобного Сергия Радонежского;
 Чебоксары;Чебоксары ;	 МАОУ Лицей №3;
 г. Иркутск;	 МБОУ лицей №2;
 	 
 	 СУНЦ МГУ им. М.В. Ломоносова;
 	 
 	 
 Новополоцк ;	 школа №12;
 	 54;ГБОУ СОШ № 54;
 Санкт-Петербург;	 ГБОУ "Президентский физико-математический лицей №239";
 Казань;	 
 	 
 	 
 	 
 Санкт-Петербург;	 ФМЛ №30;
 Санкт-Петербург;	 ГБОУ «Президентский ФМЛ №239»;
 	 
 	 
 Новокуйбышевск;	 ГБОУ СОШ;
 	 
 г. Москва;	 ГБОУ лицей "Вторая школа";
 Москва;	  школа 179;СОШ 179 МИОО;
 1547;	 
 Мурманск;	 МОУ Гимназия №4 г. Мурманска;
 Архангельск ;	    Университетская Ломоносовская гимназия;
 	 
	 2;
 Междуреченск;	 МБОУ Лицей №20;
 Самара;	 
 	 
 Воронеж;	 1;
 	 
 	 
 	 
 Санкт-Петербург;	 ФГБОУ ВПО "Санкт-Петербургский государственный университет";
 	 
 г. Москва;	 ГБОУ Школа №1285;
 Белая Глина;	 5;
 Нижневартовск;	 МБОУ Лицей;
 	 
 	 
 Белгород;	 38;
 Ярославль;	 МОУ СОШ №33 им.Карла Маркса;
 г. Москва;	 ГБОУ Физматшкола 2007;
 	 ФГБОУ СОШ №91 РАО;
 	 
 	 
 	 
 Москва;	 354;
 Раменское ;	    гимназия;
 	 
 г. Москва;	 ГБОУ СОШ № 171;
 	 
 Чебоксары;лицей 3;г. Чебоксары;	 Лицей №3;Чебоксары;МАОУ "Лицей № 3" г.Чебоксары;МАОУ Лицей №3;
 	 
 Санкт-Петербург;	 ГОУ СОШ №483;
 	 
 	 
 г. Ангарск;	 МБОУ"СОШ № 10";
 	 
 Бийск;	 КГБОШИ "Бийский лицей-интернат Алтайского края";
 	 
 Ханты-мансийск;Магнитогорск;	 ЮФМЛ;
 	 
 218;	 218;
 	 
 	 
 	 
 г. Дубна;	 МБОУ лицей №6;
 	 
 	 
 Фрязино;	 МОУ Лицей;
 СПб;	 
 Санкт-Петербург;	 239;
 Протвино;	 
 Протвино;	 МБОУ лицей;
 	 
 	 
 	 
 Тамбов;	 МАОУ Лицей №14 им. Заслуженного учителя Российской Федерации А.М. Кузьмина;МБОУ Лицей №14;
 	 
 СПб;Санкт-Петербург;	 239;
 	 
 1518;	 
 Новосибирск;	 Гимназия 7;
 	 
 	 
 Алматы;	 РСФМСШИ им. О. А. Жаутыкова;
 Павлодар;	 ГУ Школа-лицей №8 для одарённых детей;
 Пенза;	 ГБОУ ПО "Губернский лицей-интернат для одаренных детей";
 Брянск;	 Брянский городской лицей №1;
 	 
 	 1323;
 	 
 	 
 Москва;	 ГАОУ СОШ №179 МИОО;
 г. Нижний Новгород;	 ГБОУ лицей-интернат "ЦОД";
 	 
Саранск	ГБНОУ РМ «Республиканский лицей для одарённых детей»
 	 
 Железногорск;	 3;
 Самара;	 Самарский лицей информационных технологий;
 Гатчина;	 
 Павлодар;	 ГУ Школа-лицей №8 для одарённых детей;
 	 
 Бийск;	 КГБОШИ "Бийский лицей-интернат Алтайского края";
 Москва;	 
 г. Королев;	 АОУ Лицей научно-инженерного профиля;
 	 
 Нижнекамск;	 МОШИ "Лицей-интернат №24";
 Санкт-Петербург;	 239;
 Челябинск;	 МБОУ Лицей №31;
 	 
 	 
 	 
 Белгород ;	 39;
 Белгород;	 МАОУ Лицей №38;
 Уфа;г.о. город Уфа;	 МАОУ гимназия №93;МАОУ гимназия № 93;
 	 
 СПб;	 344;
 Воронеж ;	    гим. Басова;
 Дедовск;	 лицей;
 Норильск;	 МАОУ Гимназия №4;
 	 
 	 
Липецк	МАОУ Лицей №44
 белгород;	 
 	 
 Санкт-Петербург;	 533;
 Москва;	 ГБОУ гимназия 1588;
 Омск;	 БОУ Лицей No64 г. Омска;
 Москва;	 СУНЦ МГУ;Специализированный учебно-научный центр (факультет) -школа-интернат имени А.Н.Колмогорова Московского государственного университета имени М.В.Ломоносова;
 	 
 	 
 Липецк;	 МБОУ СОШ №68;
 Воткинск;	 МБОУ Воткинский лицей;
 Саров;15;	 Лицей №15; Лицей 15;МБОУ "Лицей 15", Саров;лицей №15;
 Воронеж;	 гимназия им. ак. Н.Г. Басова при ВГУ;
 	 
 	 
 	 ГБОУ ЦО ? 1439;
 Старый Оскол;	 МБОУ СОШ №27;
 Элиста;	 МБОУ "Элистинский лицей";
 Москва;Люберцы;	 654;ГБОУ СОШ № 654 имени А.Д. Фридмана;
 	 
 	 
 Рязань ;	 52;лицей 4 г. Рязань;
 	 
 	 ГБОУ гимназия № 1514;
 Старый Оскол;	 МБОУ СОШ №27;
 Снежинск;	 МБОУ Гимназия №127;
 Саратов;	 1;
 Бобруйск;	 Гимназия №3;
 	 
 	 
 Якутск;	 
 Пермь;	 МАОУ СОШ №146;
 Нижегородская область;	 Елизаровская СОШ;
 Обнинск ;	    гимназия;
 СПб;	 
 Санкт-Петербург;	 ГБОУ ФМЛ №239;
 	 
 Ленск;	 3;
 Озерск;	 МБОУ Лицей №39;
 	 
 	 
 9;	 Долгопрудный;
 	 
 Москва;	 57;
 Москва ;	    лицей Троицка;
 	 
 	 
 	 
 Минск;г. Минск;	 Гимназия №41 им. В.Х.Серебряного;
 Саратов;	 МАОУ Лицей №37;МОУ Лицей №37;
 	 2;
 Москва;	 ГОУ ЦО №1434;
 	 
 57;Москва;	 57;
 	 
 Москва;	 ГБОУ Гимназия №1514;ГБОУ гимназия № 1514;
 Санкт-Петербург;	 239;
 	 
 	 
 Сургут;	 Лаборатория Салахова;
 	 ГБОУ СОШ № 1018;
 	 ГБОУ СОШ № 1189;
 	 1543;гимназия 1543;
 	 
 	 ГБОУ СОШ № 192;
 Москва;179;	 ГАОУ СОШ №179 МИОО;СОШ 179 МИОО;
 	 57;
 	 
 	 
 Череповец;	 Общеобразовательный лицей "АМТЭК";
 Железногорск (Красноярский край);	 МБОУ Гимназия № 91 им. М.В.Ломоносова;
 	 
Железногорск (Красноярский край)	МБОУ Гимназия № 91 им. М.В.Ломоносова
 	 
 Сосновый Бор;	 8;
 	 
 Москва;	 СУНЦ;СУНЦ МГУ;
 	 
 	 1121;
 	 
 Дубна;	 МБОУ лицей "Дубна";
 	 
 Саратов;	 МАОУ "Физико-технический Лицей №1";
 	 
 	 
 Ярославль;	 Школа №33 им. К.Маркса;МОУ СОШ ?33, г. Ярославль;МОУ СОШ № 33 им. К. Маркса;
 57;	 57;
 Саранск;г.о. Саранск;	 ГБНОУ РМ «Республиканский лицей для одарённых детей»;ГБНОУ РМ Республиканский лицей для одаренных детей;ГБНОУ РМ "Республиканский лицей";
 Северодвинск ;	 17;
  Могилев;	 
 Мытищи;	 Школа №6;МБОУ СОШ ?6 г. Дубна;
 Сергиев Посад;	 гимназия им. И.Б. Ольбинского;
 	 
Саранск	ГБНОУ РМ «Республиканский лицей для одарённых детей»
 Новосибирск;	 Лицей №81;
 	 
 Москва;	 СУНЦ;2086;
 	 
 Минск;	 СШ №165;
 Москва;	 1547;
 Москва;Москва ;	 1568;
 57;	 57;
 Москва;	 ГОУ СОШ №2007;ГБОУ Физматшкола 2007;
 	 
 Москва;Москва ;	 654;
 	 
 Калининград;	 МОУ Лицей №49;
 	 
 	 
 	 
 	 
 2086;Москва;	 ГБОУ СОШ № 2086;ГБОУ СОШ 2086;
 	 
 Москва;	 57;ГБОУ ЦО №57;
 Московский;	 239;
 	 
 Оренбург;	 15;
 Саранск;	 Республиканский лицей - Центр для одаренных детей;
 2007;	 
 2007;	 
 57;	 
 г. Москва;	 1543;ГБОУ Московская гимназия на Юго-Западе № 1543;
 Москва;	 ГБОУ СОШ №1948 "Лингвист-М";
 Иваново;	 21;
 	 
 Москва;	 1531;
 	 
 	 
 	 
 	 
 1514;	 
 Элиста;	 Элистинский лицей;МБОУ "Элистинский лицей";
 	 
 Балашиха;	 МБОУ СОШ №22;
 Москва;	 1580;
 	 
 Долгопрудный;	 лицей № 5;
 	 
 Саранск;	 ГБНОУ РМ «Республиканский лицей для одарённых детей»;
 	 
 	 
 	 Лицей г.Троицка;
 	 
 Санкт-Петербург;	 239;
 	 
 57;Рязань?;Рязань ;	 1189;лицей №4;
 	 
 	 лицей 3 г. Чебоксары;
 	 
 Челябинск ;	 31;
 Москва;	 1580;
 Павлодар;	 ГУ Школа-лицей №8 для одарённых детей; Школа-лицей №8 для одарённых детей;
 Ангарск;Москва;	 МОУ Ангарский Лицей №2; школа 25;
 2086;	 25;
 	 
 Бийск;	 КГБОШИ "Бийский лицей-интернат Алтайского края";
 	 
 	 
 	 1534;
 Москва;	 ГБОУ Лицей информационных технологий №1537;
 179;	 179;
 Фурманов;	 МОУ СОШ №1;
 Химки;	 МБОУ гимназия 4;
 Подольск;	 лицей № 5;
 Тверь;	 МОУ СОШ №17;
 Москва;179;	  школа 179;
 Саров;	 2;
 Тамбов;	 14;Муниципальное автономное общеобразовательное учреждение лицей №14 имени Заслуженного учителя Российской Федерации А.М. Кузьмина;
 Москва;	 Школа №179;СОШ ? 179 МИОО;
 Санкт-Петербург;	 ГБОУ ФМЛ № 366;
 Москва;	 ГБОУ СОШ №192;
 	 
 	 
 	 
 	 
 	 ГБОУ Государственная столичная гимназия;
 	 
 Нефтекамск;	 МОАУ Лицей №1;
 Уфа;	 МАОУ гимназия №93;
 	 
 	 
 Москва;	 1517;
 Казань;	 МАОУ лицей №131;
 	 
 Долгопрудный;	 5;
 	 
 	 
 	 
 	 
 Самара;	 Самарский лицей информационных технологий;СамЛИТ, Самара;
 	 
 	 
 	 
 	 
 	 
 Обнинск ;	    гимназия;
 г. Москва;	 ГБОУ СОШ № 113;
 Уфа;	 93;
 	 
 	 СУНЦ МГУ им. М.В. Ломоносова;
 	 
 Казань;	 131;
 Ярославль ;	 33;
 г. Москва;	 ГБОУ СОШ №1189;
 	 
 1501;Москва;	 ГБОУ лицей № 1501;
 Ростов-на-Дону;	 
 Москва ;	 1581;
 Воронеж;	 МБОУ СОШ с УИОП №38 им. Е.А. Болховитинова;
 Курск;	 МБОУ Лицей №6;
 Курск ;	 6;
 Павлодар;	 ГУ Школа-лицей №8 для одарённых детей;
 	 
 СПб;	 230;
 	 
 	 
 	 
 Москва;	 Лицей № 1580 при МГТУ им. Баумана;
 	 
 	 
 Таганрог ;	 4;
 Самара;	 МБОУ СОШ№101;
 	 
 Санкт-Петербург;	 ГБОУ Лицей 533;
 	 
 	 1543;
 Москва;	 
 Москва;	 1494;
 Москва;	 ГБОУ Школа №293 им. А.Т. Твардовского;
 	 лицей ФТШ г. Санкт-Петербург;
 Липецк ;	 19;
