город	школа
 Москва;	 ГБОУ Сош 117;
 	 
 г. Обнинск;	 МОУ Лицей "ФТШ";
 	 54;
 г. Иваново;	 МБОУ общеобразовательный лицей № 33;
 	 СУНЦ;СУНЦ МГУ им. М.В. Ломоносова;
 Долгопрудный;лицей 5;	 5;Долгопрудный;АОУ лицей № 5;
 218;Москва;	 218;школа № 218;
 Ноябрьск;	 МОУ СОШ №7;
 1547;	 лицей 1547;
 	 
 	 
 Саранск;	 МОУ Лицей №43;
 	  ГБОУ школа-интернат "Интеллектуал";
 	 
 Гусь-Хрустальный;	 МБОУ СОШ №2;
 Санкт-Петербург;	 ГБОУ Лицей №64;ГБОУ «Президентский ФМЛ №239»;
 	 
Уфа	МБОУ Лицей №153
 Москва;	 179;
 Москва;	 1558;
 Москва;	 598;
 	 
 	 1562;
 	 
 Ессентуки ;	 10;
 	 
 Ангарск;	 10;
 	 СУНЦ МГУ;
 Мозырь;	 Клуба юных пожарных;
 	 
 	 ГОУ лицей № 1580;
 Москва ;	 ГБОУ лицей "Вторая школа";2;
 Железногорск (Красноярский край);	 МБОУ Лицей №102;
 Рязань ;	 4;
 Бийск;	 КГБОШИ Бийский лицей;
 	 
 Кемерово;	 МБНОУ ГКЛ;
 Сургут ;	    лаборатория Салахова;
 Подольск;	 Гимназия № 4;
 Москва;	 СУНЦ МГУ;
 	 
 Иркутск;	 Лицей ИГУ;
Москва	СУНЦ МГУ
 Москва;	 ГБОУ СОШ №354 им. Д.М. Карбышева;
 Москва;	 ГОБУ "Физтех-лицей";
 	 
 	 
 Москва;	 179; ГОУ ЦО №1830;
	 2;
 Витебск;	 школа 34;
 	 
 Чебоксары ;	 5;
 Екатеринбург;	 МБОУ СОШ №85;
 Чебоксары;	 3;
 Москва;	 1947;
 2;Москва;	 лицей "Вторая школа";
 Чебоксары;	 МОУ Гимназия №1;
 	 
 1543;Москва;	 1543;ГБОУ Гимназия № 1543;
 	 
 	 
 	 
 	 
 	 
 	 
 Ступино;	 МБОУ Лицей №1;
 	 
 	 
 Москва;	 ГБОУ гимназия № 1536;
 	 2;
 Санкт-Петербург;	 ГБОУ СОШ 491;
 Москва;	 1189;
 	 СУНЦ МГУ им. М.В. Ломоносова;
 Гатчина;	 МОУ Гатчинский Лицей №3;лицей № 3;
 	 
 Якутск;	 
 Москва;Москва ;	 1511;
 	 
 	 СУНЦ МГУ;
 	 
 Москва;	 57;ГБОУ ЦО Пятьдесят седьмая школа;ГБОУ ЦО "Пятьдесят седьмая школа";
 	 
 Медведево ;	 3;
 Челябинск;	 Лицей №31;
 Санкт-Петербург;	 30;
 	 
 	 
 	 МБОУ "Цивильская СОШ №1 им. М.В. Силантьева";
 Пермь;	 146;
 	 
 Москва;	 766;
 	 
 Чебоксары;	 Лицей №3;лицей 3;
 Поставы;	 Поставская гимназия;
 	 
 Брянск;	 1;
 	 57;
 Волгоград;	 
 	 гимназия 1534;
 София;	 
 	 
 СУНЦ МГУ;Москва;	 Вторая школа;СУНЦ МГУ;
 	 
Санкт-Петербург 	Лицей №384
 	 179;
 	 
 г. Москва;	 ГБОУ лицей № 1581;
Москва	СУНЦ МГУ
 Черноголовка;  	82;
 г. Березники;	 МАОУ "СОШ с УИОП №3";
 	 
 Саранск;	 ГБНОУ РМ «Республиканский лицей для одарённых детей»;ГБОУ РМ «Республиканский лицей»;
 	 
 	 
 	 Лицей 1303, Москва;
 Люберцы;	 НОУ "Школа радости";
 	 
 	 
 	 
 	 
 Москва;	 ГБОУ лицей №1575;
 Интеллектуал;	 Школа "Интеллектуал", Москва;
 Бийск;	 КГБОШИ "Бийский лицей-интернат Алтайского края";
 Москва;	 2007;
 Москва;	 Лицей информационных технологий № 1533;
 	 
 	 
 Тосно;	 МБОУ СОШ №1 г. Тосно с углубленным изучением отдельных предметов;
 	 
 	 
 Уфа;	 Лицей №60;
 	 
 	 
 	 
 	 
 	 
 Актобе;	 
 	 
 Москва;	 СОШ 179 МИОО;
 Москва;	 1189;
 	 
 	 
